Day,Duration,Previous,gender
2017-08-18,11,0,Unlisted
2017-08-18,8,0,Female
2017-08-18,3,0,Male
2017-08-18,2,1,Other
2017-08-18,4,1,Other
2017-08-18,8,0,Female
2017-08-18,9,1,Other
2017-08-18,5,0,Unlisted
2017-08-18,3,0,Unlisted
2017-08-18,2,1,Female
2017-08-18,3,1,Male
2017-08-18,3,0,Male
2017-08-18,1,0,Male
2017-08-18,23,0,Female
2017-08-18,4,1,Unlisted
2017-08-18,4,0,Unlisted
2017-08-18,2,0,Unlisted
2017-08-18,15,1,Female
2017-08-18,4,0,Female
2017-08-18,4,1,Male
2017-08-18,4,1,Male
2017-08-18,23,0,Female
2017-08-18,16,0,Unlisted
2017-08-18,41,0,Male
2017-08-18,12,0,Other
2017-08-18,6,0,Male
2017-08-18,9,0,Male
2017-08-18,4,0,Male
2017-08-18,2,0,Other
2017-08-18,3,0,Unlisted
2017-08-18,4,0,Male
2017-08-18,9,0,Unlisted
2017-08-18,5,1,Male
2017-08-18,2,0,Unlisted
2017-08-18,1,0,Unlisted
2017-08-18,1,0,Other
2017-08-18,13,1,Unlisted
2017-08-18,4,1,Unlisted
2017-08-18,3,0,Female
2017-08-18,14,1,Female
2017-08-18,3,1,Unlisted
2017-08-18,7,1,Other
2017-08-18,10,1,Female
2017-08-18,8,0,Female
2017-08-18,5,1,Female
2017-08-18,6,1,Female
2017-08-18,9,0,Female
2017-08-18,4,0,Other
2017-08-18,1,1,Female
2017-08-18,3,0,Other
2017-08-18,1,1,Other
2017-08-18,2,1,Male
2017-08-18,6,1,Unlisted
2017-08-18,3,1,Other
2017-08-18,1,1,Male
2017-08-18,4,1,Female
2017-08-18,3,1,Male
2017-08-18,4,0,Unlisted
2017-08-18,1,0,Unlisted
2017-08-18,2,0,Male
2017-08-18,4,0,Female
2017-08-18,5,0,Unlisted
2017-08-18,9,0,Female
2017-08-18,3,1,Female
2017-08-18,2,0,Male
2017-08-18,1,0,Male
2017-08-18,8,1,Unlisted
2017-08-18,5,0,Other
2017-08-18,3,1,Female
2017-08-18,3,1,Male
2017-08-18,3,1,Female
2017-08-18,4,0,Other
2017-08-18,1,0,Unlisted
2017-08-18,16,1,Other
2017-08-18,2,0,Other
2017-08-18,2,1,Other
2017-08-18,8,0,Unlisted
2017-08-18,6,0,Female
2017-08-18,3,0,Female
2017-08-18,2,1,Unlisted
2017-08-18,3,0,Female
2017-08-18,1,1,Female
2017-08-18,3,1,Other
2017-08-18,13,1,Female
2017-08-18,7,1,Male
2017-08-18,1,0,Other
2017-08-18,10,1,Unlisted
2017-08-18,9,0,Other
2017-03-15,2,0,Male
2017-03-15,2,1,Male
2017-03-15,10,0,Female
2017-03-15,2,0,Unlisted
2017-03-15,4,1,Other
2017-03-15,1,1,Female
2017-03-15,3,1,Other
2017-03-15,4,1,Male
2017-03-15,14,0,Other
2017-03-15,2,0,Male
2017-03-15,2,1,Female
2017-03-15,15,0,Other
2017-03-15,7,0,Unlisted
2017-03-15,3,1,Unlisted
2017-03-15,9,0,Unlisted
2017-03-15,18,1,Male
2017-03-15,1,1,Female
2017-03-15,19,0,Unlisted
